,faultNumber,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0,0.0,3641.2,4499.7,9.364,26.893,42.359,2705.3,75.957,120.4,0.3372,80.182,51.028,2633.9,24.648,50.215,3102.3,22.677,65.76,230.18,341.44,94.609,77.182,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.446,54.095,24.581,60.751,22.261,40.054,41.126,47.031,47.457,41.91,18.766
1,0.0,3652.0,4491.8,9.3392,26.804,42.441,2704.8,75.392,120.39,0.33568,80.091,49.333,2633.4,25.032,49.458,3101.2,22.211,65.755,231.57,341.35,94.584,77.113,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.259,54.19,24.737,61.585,22.153,40.24,36.137,45.28,47.332,40.196,19.88
2,0.0,3665.6,4514.1,9.3934,26.533,42.053,2704.4,74.487,120.4,0.33716,80.028,49.123,2633.8,24.073,50.668,3101.1,23.052,65.732,228.44,341.43,94.589,77.165,31.616,8.8474,26.521,6.8162,18.689,1.6684,33.25,13.687,24.078,1.3281,19.016,2.2298,4.8809,2.3268,0.017866,0.8357,0.098577,53.724,43.828,63.025,53.922,24.759,61.729,22.2,40.057,35.52,48.079,47.612,41.744,17.879
3,0.0,3659.6,4493.5,9.1898,26.828,42.495,2703.6,75.789,120.4,0.33504,80.042,50.376,2632.4,25.973,50.197,3101.4,23.831,65.714,229.97,341.49,94.655,77.271,31.616,8.8474,26.521,6.8162,18.689,1.6684,33.25,13.687,24.078,1.3281,19.016,2.2298,4.8809,2.3268,0.017866,0.8357,0.098577,53.724,43.828,63.128,54.168,24.549,60.539,22.505,40.317,39.205,46.99,47.478,41.129,16.033
4,0.0,3679.7,4521.3,9.5622,26.862,42.378,2705.1,75.27,120.4,0.31669,80.061,50.757,2634.4,25.014,48.063,3103.2,22.086,65.702,229.45,341.29,94.48,77.359,32.316,8.9268,26.098,6.7743,19.019,1.674,33.406,13.856,24.362,1.201,18.706,2.2884,4.8447,2.2932,0.017866,0.8357,0.098577,53.724,43.828,63.39,54.058,30.396,59.515,22.146,38.824,40.328,42.052,47.526,40.942,20.172
5,0.0,3697.3,4539.3,9.331,27.125,42.496,2708.5,75.208,120.43,0.32062,80.268,48.945,2637.6,24.003,48.659,3104.5,22.604,65.736,230.92,341.68,94.545,77.641,32.316,8.9268,26.098,6.7743,19.019,1.674,33.406,13.856,24.362,1.201,18.706,2.2884,4.8447,2.2932,0.028874,0.8304,0.098108,53.654,44.302,63.088,53.842,30.374,60.511,22.434,38.345,34.997,43.431,47.394,41.282,18.907
6,0.0,3693.1,4511.8,9.4343,27.474,42.299,2705.6,74.544,120.39,0.34112,80.185,48.222,2634.7,25.288,51.001,3103.3,22.354,65.78,229.13,341.56,94.347,77.378,32.762,9.0139,26.088,6.9993,18.999,1.6811,32.952,14.055,23.941,1.2727,18.765,2.3327,4.7467,2.2507,0.028874,0.8304,0.098108,53.654,44.302,63.609,53.347,24.099,61.118,22.412,40.275,32.868,48.851,47.55,40.871,19.516
7,0.0,3707.7,4522.1,9.3666,27.07,42.178,2703.9,75.493,120.39,0.34102,80.108,49.25,2632.7,25.067,49.668,3100.8,22.674,65.764,228.02,341.75,94.623,77.01,32.762,9.0139,26.088,6.9993,18.999,1.6811,32.952,14.055,23.941,1.2727,18.765,2.3327,4.7467,2.2507,0.028874,0.8304,0.098108,53.654,44.302,63.359,53.223,24.062,60.636,22.154,40.286,35.893,45.765,47.65,41.323,18.789
8,0.0,3625.5,4517.2,9.4182,27.219,42.611,2698.8,75.868,120.37,0.36332,79.777,49.49,2627.0,24.933,50.141,3095.3,22.531,65.698,230.7,341.71,94.549,76.823,32.301,8.9439,26.274,6.8293,19.034,1.6282,32.547,13.821,23.857,1.2094,18.786,2.2769,4.8079,2.2979,0.028874,0.8304,0.098108,53.654,44.302,62.796,53.292,19.447,59.644,22.542,43.093,36.599,46.86,47.411,40.673,19.164
9,0.0,3631.6,4472.7,9.4224,26.915,42.863,2698.5,74.728,120.38,0.36612,79.921,48.582,2626.7,25.416,49.872,3096.1,22.575,65.648,230.58,341.38,94.835,77.421,32.301,8.9439,26.274,6.8293,19.034,1.6282,32.547,13.821,23.857,1.2094,18.786,2.2769,4.8079,2.2979,0.028874,0.8304,0.098108,53.654,44.302,62.69,53.826,19.294,62.122,21.836,42.75,33.928,46.237,47.428,40.224,19.026
