,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0,0.25044,3667.8,4493.6,9.3582,26.677,42.534,2705.1,74.247,120.4,0.33514,80.155,51.288,2634.0,26.118,49.247,3102.5,23.864,65.729,229.72,341.38,94.593,77.409,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.988,54.168,24.652,60.544,22.049,40.305,41.89,44.792,47.499,40.744,15.925
1,0.24959,3668.3,4550.4,9.3604,26.988,42.433,2707.1,75.607,120.41,0.33809,80.296,49.283,2636.3,24.294,49.36,3104.0,22.405,65.76,229.8,340.99,94.57,77.374,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.978,53.488,24.735,59.147,22.291,39.945,35.991,45.052,47.49,41.583,19.381
2,0.25082,3666.3,4494.7,9.3691,26.763,42.246,2706.6,76.028,120.41,0.33553,80.262,49.134,2635.0,24.757,49.625,3103.7,22.149,65.796,229.27,341.23,94.551,77.532,32.12,8.8375,26.458,6.9978,18.881,1.6992,33.268,13.834,23.5,1.3929,18.817,2.2596,4.8433,2.1929,0.017866,0.8357,0.098577,53.724,43.828,63.014,54.154,24.623,60.452,22.049,40.256,35.551,45.667,47.532,40.572,19.965
3,0.24912,3672.1,4550.6,9.4412,27.011,42.444,2705.5,75.707,120.39,0.33902,80.185,50.806,2633.9,25.459,50.0,3102.8,22.087,65.811,231.95,341.26,94.602,77.385,32.12,8.8375,26.458,6.9978,18.881,1.6992,33.268,13.834,23.5,1.3929,18.817,2.2596,4.8433,2.1929,0.017866,0.8357,0.098577,53.724,43.828,62.913,53.484,24.789,59.633,22.318,39.831,40.473,46.535,47.289,41.113,20.129
4,0.25673,3639.3,4503.1,9.2844,26.855,42.065,2703.6,74.835,120.36,0.33722,80.071,47.305,2632.9,24.301,49.114,3100.9,22.195,65.777,229.99,341.5,94.705,76.874,32.556,8.867,26.107,6.8699,19.068,1.7055,32.902,13.788,23.97,1.0648,19.095,2.245,4.8598,2.2768,0.017866,0.8357,0.098577,53.724,43.828,62.407,53.787,25.401,62.606,22.267,40.353,30.168,44.484,47.463,40.421,19.912
5,0.25613,3617.8,4523.7,9.4128,26.56,42.287,2701.7,75.212,120.41,0.34051,79.819,50.93,2630.4,25.107,49.825,3098.5,22.317,65.73,230.58,341.55,94.708,77.062,32.556,8.867,26.107,6.8699,19.068,1.7055,32.902,13.788,23.97,1.0648,19.095,2.245,4.8598,2.2768,0.028837,0.83308,0.088074,53.056,44.6,62.778,53.541,25.46,60.509,22.043,39.952,40.836,46.129,47.413,41.193,19.638
6,0.212,3623.1,4469.8,9.3266,26.676,41.851,2701.5,75.258,120.35,0.33046,79.78,50.588,2630.3,25.423,49.001,3099.1,23.178,65.633,229.51,341.68,94.779,76.745,32.458,8.9582,25.916,6.9907,18.428,1.6609,33.008,13.761,24.364,1.2305,18.458,2.2719,4.8371,2.2896,0.028837,0.83308,0.088074,53.056,44.6,63.761,53.694,21.198,62.0,21.894,39.938,39.832,44.222,47.514,39.89,17.638
7,0.21213,3662.3,4444.5,9.3651,26.886,42.241,2703.6,74.682,120.43,0.33317,79.894,50.274,2632.4,24.747,48.252,3098.3,22.665,65.6,231.91,341.78,94.723,77.439,32.458,8.9582,25.916,6.9907,18.428,1.6609,33.008,13.761,24.364,1.2305,18.458,2.2719,4.8371,2.2896,0.028837,0.83308,0.088074,53.056,44.6,63.084,53.996,21.185,62.134,22.566,39.608,38.907,42.488,47.309,41.658,18.817
8,0.21887,3630.1,4530.9,9.3575,27.266,42.207,2706.2,75.263,120.36,0.32712,80.213,50.964,2635.1,26.226,51.529,3102.5,22.93,65.643,229.66,341.98,94.716,77.352,32.131,8.8286,26.419,6.7715,18.729,1.6989,33.064,13.947,24.293,1.259,18.579,2.2951,4.8528,2.2927,0.028837,0.83308,0.088074,53.056,44.6,62.534,54.537,21.738,62.5,22.313,39.54,40.937,50.073,47.511,39.816,18.174
9,0.2204,3636.8,4552.1,9.3678,26.662,42.781,2707.8,74.03,120.43,0.33075,80.317,48.46,2636.6,25.062,49.642,3104.1,23.891,65.721,231.79,341.44,94.637,77.604,32.131,8.8286,26.419,6.7715,18.729,1.6989,33.064,13.947,24.293,1.259,18.579,2.2951,4.8528,2.2927,0.028837,0.83308,0.088074,53.056,44.6,62.419,54.283,21.587,62.846,22.125,39.096,33.568,45.705,47.319,42.054,15.858
