faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7
1,1.0,1,0.25038,3674.0,4529.0,9.232,26.889,42.402,2704.3
1,1.0,2,0.25109,3659.4,4556.6,9.4264,26.721,42.576,2705.0
1,1.0,3,0.25038,3660.3,4477.8,9.4426,26.875,42.07,2706.2
1,1.0,4,0.24977,3661.3,4512.1,9.4776,26.758,42.063,2707.2
1,1.0,5,0.29405,3679.0,4497.0,9.3381,26.889,42.65,2705.1
1,1.0,6,0.29303,3691.7,4502.2,9.378,27.111,41.999,2703.8
1,1.0,7,0.24301,3658.8,4541.6,9.3374,26.623,42.448,2704.0
1,1.0,8,0.2409,3653.3,4500.0,9.3495,27.075,42.412,2704.9
1,1.0,9,0.29416,3654.3,4454.7,9.3213,27.363,42.238,2703.2
1,1.0,10,0.29372,3675.9,4487.4,9.4107,26.809,42.144,2705.3
1,1.0,11,0.2348,3677.4,4489.8,9.3199,26.695,42.014,2703.9
1,1.0,12,0.2357,3643.6,4517.4,9.4013,26.404,42.81,2703.8
1,1.0,13,0.25649,3680.1,4506.3,9.3763,27.232,42.42,2702.1
1,1.0,14,0.25909,3693.7,4514.2,9.3814,27.158,42.552,2702.5
1,1.0,15,0.2908,3713.0,4521.6,9.3023,26.873,42.685,2704.9
1,1.0,16,0.29176,3713.7,4501.2,9.3591,26.744,42.092,2706.8
1,1.0,17,0.23719,3672.7,4534.8,9.2755,26.619,42.459,2703.7
1,1.0,18,0.23812,3661.2,4479.4,9.2821,27.286,42.303,2696.1
1,1.0,19,0.25179,3666.1,4526.5,9.3263,26.953,42.107,2695.5
1,1.0,20,0.25299,3650.4,4477.0,9.2933,27.165,42.307,2699.2
1,1.0,21,0.27833,3649.7,4479.9,9.3498,26.379,42.488,2702.4
1,1.0,22,0.27992,3647.2,4516.1,9.4246,27.084,42.347,2705.2
1,1.0,23,0.24735,3648.7,4505.7,9.465,26.751,42.653,2707.2
1,1.0,24,0.24847,3677.2,4491.0,9.3595,26.869,42.423,2709.9
1,1.0,25,0.23415,3732.0,4481.1,9.334,26.891,41.973,2713.5
1,1.0,26,0.23569,3763.0,4542.1,9.3545,26.791,42.078,2715.5
1,1.0,27,0.30566,3647.5,4534.5,9.2294,26.761,42.29,2717.3
1,1.0,28,0.30383,3660.6,4519.3,9.2774,26.717,42.627,2723.2
1,1.0,29,0.3256,3703.7,4478.6,9.2911,27.055,42.436,2725.8
1,1.0,30,0.3279,3672.1,4498.5,9.3309,26.882,42.23,2731.1
1,1.0,31,0.37912,3684.9,4522.9,9.374,27.134,42.36,2739.1
1,1.0,32,0.37985,3650.4,4486.6,9.2179,26.599,42.264,2742.7
1,1.0,33,0.45912,3710.9,4510.2,9.3014,26.738,42.39,2747.1
1,1.0,34,0.4572,3664.2,4512.2,9.3754,27.016,42.209,2753.4
1,1.0,35,0.49741,3664.7,4397.0,9.2692,26.923,42.514,2760.7
1,1.0,36,0.49937,3632.5,4404.8,9.18,26.776,42.574,2764.0
1,1.0,37,0.58791,3676.4,4515.2,9.1789,26.971,42.712,2767.7
1,1.0,38,0.58762,3687.6,4466.7,9.1141,26.852,42.42,2773.3
1,1.0,39,0.57479,3621.5,4545.1,9.0899,27.233,42.484,2779.3
1,1.0,40,0.57525,3603.4,4487.5,9.137,26.848,42.636,2783.8
1,1.0,41,0.61338,3687.6,4476.9,9.0395,26.832,42.918,2786.6
1,1.0,42,0.6129,3719.3,4527.0,8.9874,26.845,42.8,2788.4
